batch,3rcvdvj9 - Epoch-avg,14wxldb2 - Epoch-avg,1mr08dak - Epoch-avg,q4vinlo0 - Epoch-avg,oj8q7z76 - Epoch-avg,2sezzrdx - Epoch-avg,9nrq3cnl - Epoch-avg,1n5j2rax - Epoch-avg,ulz3jb12 - Epoch-avg,1coy3mr5 - Epoch-avg,rr54n2f4 - Epoch-avg,2jqw6lu4 - Epoch-avg,363f3lmc - Epoch-avg,14bzgdj7 - Epoch-avg,2olfyl92 - Epoch-avg,k8r8hfnx - Epoch-avg,cn09x2es - Epoch-avg,mdrxxfhv - Epoch-avg,1rr22ns1 - Epoch-avg,2ruvh68i - Epoch-avg,1scdq7h1 - Epoch-avg,1hmh5gtz - Epoch-avg,3eo79fbn - Epoch-avg,12oto9ps - Epoch-avg,1os5wnh5 - Epoch-avg,1ey84ffm - Epoch-avg,2hip33eh - Epoch-avg,t3m35g3g - Epoch-avg,37r342ur - Epoch-avg,24pbctuu - Epoch-avg
0,-941.4352476,-1229.970451,-1092.634168,-1041.920437,-1273.268129,-1289.229085,-1317.72351,-1228.215563,-1258.964018,-1166.523494,-1062.259718,-1181.287125,-1221.44019,-1044.597714,-1432.195637,-1385.472241,-1065.780526,-1316.986115,-1238.79137,-1190.394169,-1244.150125,-1095.258642,-1340.258105,-1212.528694,-1334.277654,-1071.751123,-1279.106456,-1312.468512,-1280.572725,-1280.893886
1,-1464.316276,-1311.913154,-1178.442448,-1148.666985,-1246.105281,-1207.59071,-1189.415249,-1148.076877,-1266.149291,-1349.659213,-1129.014423,-1251.633886,-1240.381453,-1100.313545,-1077.986238,-998.6628569,-1183.915156,-1193.171107,-1093.613877,-1346.60133,-1300.502569,-1198.055399,-1255.310989,-1069.46758,-1106.806538,-1194.899982,-1269.110681,-1318.721233,-1194.183695,-1388.883908
2,-1336.898461,-1292.249418,-1283.28424,-1189.452885,-1246.612227,-1223.82248,-1206.143989,-1244.322345,-1193.853433,-1243.558879,-1238.58397,-1180.50361,-1272.560458,-1365.292645,-1228.544824,-1229.537433,-1211.922619,-1328.458006,-1348.859235,-1387.828624,-1167.586591,-1193.473877,-1376.96526,-1240.059215,-1131.18784,-1328.318095,-1296.183623,-1043.947779,-1395.22507,-1277.380766
3,-1306.617492,-1213.471385,-1351.100934,-1326.772081,-1338.337278,-1399.805961,-1275.415976,-1158.264992,-1301.068583,-1247.860543,-1276.219301,-1260.175487,-1340.353318,-1448.338332,-1335.025984,-1304.335153,-1318.020475,-1399.652677,-1261.488031,-1386.919515,-1215.637482,-1381.954597,-1279.507063,-1229.532629,-1233.977329,-1417.612275,-1302.169806,-1285.229671,-1348.96676,-1193.605514
4,-1305.243828,-1303.178623,-1421.231744,-1287.924393,-1276.844073,-1361.483302,-1257.41296,-1272.116167,-1387.186517,-1226.259846,-1285.375414,-1176.450161,-1466.807339,-1402.229637,-1420.353016,-1353.873021,-1321.109375,-1417.100655,-1352.330667,-1399.927133,-1326.813123,-1378.630801,-1437.483014,-1308.30423,-1284.016711,-1394.224244,-1327.325415,-1390.150647,-1423.197853,-1323.955245
5,-1396.389046,-1252.297263,-1435.321356,-1260.126747,-1254.904014,-1385.337377,-1222.633779,-1336.565112,-1418.620291,-1208.102292,-1405.634828,-1236.998283,-1389.461476,-1391.71895,-1394.601313,-1367.846028,-1381.008539,-1425.789862,-1232.10245,-1416.072381,-1339.801962,-1400.023536,-1362.080791,-1328.819926,-1391.298244,-1376.33284,-1184.796748,-1341.325317,-1426.764746,-1241.562777
6,-1362.26696,-1356.322536,-1390.029166,-1416.229601,-1362.094439,-1414.690715,-1315.743031,-1380.707565,-1348.817916,-1212.087089,-1415.775119,-1365.474607,-1355.74651,-1359.514777,-1286.666996,-1448.049983,-1404.308863,-1383.304747,-1318.557816,-1310.188965,-1369.873526,-1381.950391,-1327.362837,-1391.074623,-1393.051989,-1363.562839,-1418.349567,-1325.532878,-1389.358752,-1254.686153
7,-1359.823441,-1426.945302,-1397.761042,-1397.807331,-1324.522245,-1364.145743,-1285.874859,-1405.285243,-1407.229019,-1319.583696,-1421.353865,-1322.285011,-1300.759088,-1431.574335,-1327.147764,-1443.714278,-1421.098351,-1350.304445,-1262.462626,-1333.369353,-1384.810693,-1283.82173,-1322.770882,-1331.892244,-1391.096819,-1198.16752,-1299.998408,-1197.980566,-1427.224284,-1200.542053
8,-1305.502507,-1333.143609,-1300.264196,-1378.263728,-1259.587218,-1380.277234,-1420.480342,-1362.899042,-1273.673295,-1295.648443,-1380.89936,-1330.662449,-1331.7699,-1314.30025,-1113.197418,-1325.540013,-1326.288063,-1288.726822,-1207.347761,-1280.408846,-1328.77941,-1233.074015,-1372.033807,-1417.20579,-1377.13881,-1196.178564,-1323.808137,-1239.075007,-1372.058083,-1270.103289
9,-1265.92523,-1289.420294,-1214.087914,-1196.573405,-1160.866881,-1390.163889,-1339.578767,-1348.560745,-1235.715208,-1320.253091,-1263.975093,-1289.863763,-1287.476177,-1316.215265,-1154.081316,-1444.377639,-1226.914699,-1305.516664,-1230.979433,-1286.141292,-1380.601325,-1287.556158,-1346.178369,-1386.649896,-1301.905827,-1254.554187,-1366.335209,-1237.688485,-1376.869549,-1362.410943
10,-1289.212784,-1183.54188,-1299.367065,-1213.526347,-1172.973833,-1265.979767,-1171.960297,-1309.463684,-1246.280897,-1339.957684,-1193.152106,-1136.714007,-1233.196515,-1206.92105,-1210.693273,-1409.880445,-1257.82393,-1371.159567,-1271.095868,-1254.893631,-1324.774145,-1320.223315,-1233.531815,-1345.077741,-1276.571274,-1329.784124,-1331.618037,-1214.740638,-1297.858897,-1461.453831
11,-1205.904168,-1225.448095,-1188.169961,-1191.405357,-1261.69619,-1192.49519,-1211.646157,-1294.380939,-1124.592095,-1354.868654,-1182.090778,-1201.552237,-1211.611896,-1090.958217,-1255.310417,-1329.429075,-1305.33201,-1311.40289,-1243.396302,-1077.414038,-1159.252189,-1141.084474,-1265.304223,-1291.671945,-1161.601683,-1225.496685,-1217.853575,-1210.553361,-1155.140926,-1399.892013
12,-1215.95178,-1205.158844,-1278.62367,-1205.052807,-1208.196593,-1230.657323,-1173.537447,-1226.224638,-1260.950943,-1322.17024,-1231.163969,-1200.578041,-1100.849359,-1197.244586,-1232.520762,-1234.250082,-1332.709965,-1332.882513,-1262.325108,-1193.90419,-1213.643019,-1173.133087,-1197.601438,-1267.104519,-1117.119508,-1324.087927,-1184.013281,-1122.142324,-1171.083902,-1273.363227
13,-1260.623467,-1173.10789,-1264.12219,-1144.759943,-1304.443565,-1198.689697,-1104.903556,-1226.357229,-995.5619095,-1267.572792,-1345.548596,-1304.853095,-1173.818493,-1197.072045,-1210.591931,-1237.734124,-1220.044775,-1248.182183,-1165.424097,-1145.360788,-1227.51644,-1130.523734,-1117.652627,-1180.984107,-1208.712373,-1242.038298,-1137.306103,-1094.084725,-1216.921987,-1276.920706
14,-1263.481512,-1147.629634,-1227.726906,-1141.195997,-1209.506822,-1299.409052,-1123.538243,-1200.970668,-1387.740216,-1205.499828,-1165.159037,-1240.843235,-1270.068353,-1117.909647,-1242.175181,-1136.526711,-1196.210077,-1216.614174,-1245.396991,-1121.74073,-1277.256281,-1176.538223,-1147.2708,-1179.054621,-1146.682218,-1166.526741,-1126.137888,-1136.464935,-1375.572063,-1149.044581
15,-1156.483887,-1092.270609,-1241.64777,-1008.424295,-1175.549099,-1226.567039,-1274.334569,-1192.040879,-1266.668093,-1185.471779,-1150.336462,-1241.423018,-1144.399019,-1263.436032,-1178.499062,-1219.389137,-1233.890523,-1213.932486,-1170.782426,-1064.668652,-1195.530177,-1209.670464,-1053.951828,-1157.157683,-1253.665901,-1208.613017,-1151.04049,-1105.557986,-1219.50633,-1343.338729
16,-1101.532625,-1153.174963,-1126.190723,-1108.57792,-1227.794561,-1099.908458,-1144.992128,-1225.318545,-1100.285565,-1185.484173,-1175.11136,-1126.434548,-1244.007688,-1100.076056,-1186.963757,-1235.891384,-1140.790224,-1271.046016,-973.9626324,-1021.828809,-1111.071829,-1164.558991,-1169.315114,-1250.511094,-1139.949737,-1196.839138,-1116.528131,-1143.150736,-1184.433387,-1229.502498
17,-1166.689814,-1171.130823,-1112.098283,-960.8082278,-1044.480104,-1017.417568,-1005.189093,-1192.6079,-1014.563354,-1206.253584,-1271.194742,-1081.594499,-1151.252721,-1217.518061,-1212.815736,-1175.54877,-1111.903591,-1164.128321,-1202.025667,-1063.964192,-1112.199364,-1015.241223,-1151.309603,-1149.788609,-1158.128541,-1141.798105,-1128.540652,-1066.604434,-963.4763076,-1248.751991
18,-1310.480745,-1159.312508,-1257.563816,-1182.856745,-1207.673438,-874.9949337,-1098.756987,-1196.565144,-1288.423306,-1279.008757,-1114.208515,-1191.09513,-991.3878036,-1235.948393,-1068.876844,-1214.89382,-1179.154743,-1138.866412,-1052.417227,-1064.579622,-1103.842249,-1141.963528,-1100.484629,-1082.630501,-1158.647554,-1160.206265,-1071.737711,-988.9199569,-1216.296197,-1178.806129
19,-1084.881384,-1100.849999,-1060.227051,-936.8771462,-1076.073958,-1106.059316,-1027.998658,-1138.893068,-1244.837284,-1208.689097,-1175.199833,-1161.585171,-1061.283725,-997.0814013,-867.9349471,-1119.688958,-1071.326274,-1116.214381,-1186.020194,-1104.950733,-1060.910506,-1145.515684,-1154.029722,-1022.681271,-1084.967819,-1125.844381,-1250.387012,-770.2016755,-1093.953704,-1007.009428
20,-968.7146931,-1091.198204,-1075.214262,-1044.469409,-1063.324068,-958.9878805,-1043.78143,-925.6533748,-901.5754658,-1040.780418,-1014.72541,-959.168698,-1091.478106,-1163.242083,-868.2315122,-1048.975509,-1202.224256,-1161.391964,-1031.011367,-1099.080301,-1172.451927,-1208.373255,-1057.823829,-1019.496846,-1087.341242,-1149.518591,-1072.149752,-917.8826853,-1003.388149,-1067.998944
21,-898.9453978,-877.4948898,-1236.844372,-795.4554275,-980.8275591,-1226.20814,-982.9309316,-1086.643318,-1201.048372,-1198.362972,-1079.784832,-890.2061143,-964.6476145,-1156.646936,-804.2179388,-1268.019128,-1024.418977,-1049.651092,-910.1528981,-917.0954483,-1047.496807,-1181.645842,-1076.224629,-1143.763957,-1237.567163,-1045.805408,-917.0357723,-971.3102853,-1127.473646,-1010.836976
22,-1040.970974,-1064.428211,-1027.629087,-822.4782036,-1020.619625,-950.9165257,-1054.67834,-783.3375346,-1164.011229,-1223.346838,-1156.563442,-937.8594709,-987.559738,-804.6879103,-1196.29965,-1054.037223,-1066.413881,-1174.729855,-866.4383606,-958.0626032,-923.6968664,-941.0354791,-1084.930175,-987.9931261,-1052.428093,-946.3361459,-1160.185784,-985.9110992,-1048.946576,-1078.541523
23,-1045.765425,-1009.627662,-1152.655347,-973.5696783,-796.0739701,-879.1130549,-725.2832274,-792.3648497,-764.4969926,-1033.552376,-1046.621879,-1149.956569,-1029.872809,-818.0961289,-1086.454012,-960.207292,-867.334085,-788.5068326,-933.4028524,-1087.093437,-1052.920414,-1118.61634,-914.9589387,-998.2949983,-1078.24365,-944.2744785,-936.1738667,-1051.474707,-1002.623249,-1048.615536
