batch,1bywtyit - Epoch-avg,vu34gyi1 - Epoch-avg,35ewr2m4 - Epoch-avg,138weaxs - Epoch-avg,1zt6hb43 - Epoch-avg,22z8shhy - Epoch-avg,2zxkst26 - Epoch-avg,2ryzif8c - Epoch-avg,36blf63y - Epoch-avg,8wyktzlh - Epoch-avg,1s7nfp0b - Epoch-avg,15nku9xl - Epoch-avg,1u1xoo37 - Epoch-avg,1s7ld0pu - Epoch-avg,2k1oz4dz - Epoch-avg,6ncyjzmb - Epoch-avg,348b2r32 - Epoch-avg,3mqhpm00 - Epoch-avg,1ipa2ne1 - Epoch-avg,qbgaumvc - Epoch-avg,3ip2ef46 - Epoch-avg,32c0cvvg - Epoch-avg,3jnbgfe3 - Epoch-avg,2k2z0ni1 - Epoch-avg,2chs2lzc - Epoch-avg,2eli0yzn - Epoch-avg
0,-1109.702444,-1246.033871,-1340.049983,-1068.810958,-1150.760157,-1250.645973,-1128.61358,-1318.279556,-1215.541727,-1291.467693,-1143.947695,-1297.762662,-1098.420701,-1287.509296,-1058.58148,-1483.691969,-1372.15484,-1152.993998,-1200.636953,-1144.390209,-1231.831494,-1191.537105,-1189.247011,-1104.716481,-1226.262322,-1297.085864
1,-1445.240492,-1163.568784,-1150.392989,-1249.627498,-1215.218771,-1262.086828,-1331.602778,-1166.533361,-1138.793952,-1084.267689,-1266.76013,-1280.788468,-1220.564504,-1268.299956,-1202.657632,-1108.584833,-1258.162817,-1399.063932,-978.5233305,-1290.002099,-1436.757171,-1190.798111,-1246.354196,-1230.880906,-1058.947975,-1277.330797
2,-1440.29621,-1273.667931,-1268.890336,-1198.403416,-1150.697108,-1197.374194,-1399.180159,-1244.395967,-1187.960297,-1256.049437,-1257.555061,-1064.061341,-1327.596577,-1178.56377,-1165.081755,-1300.972629,-1239.187816,-1192.467399,-1085.110512,-1242.259671,-1176.356046,-1262.023097,-1337.781159,-1375.898455,-1115.769836,-1393.809419
3,-1308.811789,-1110.048902,-1281.376746,-1305.161998,-1263.127547,-1169.5837,-1163.640811,-1254.005394,-1242.045862,-1263.472895,-1275.629505,-1304.305076,-1287.315146,-1395.19011,-1312.608014,-1341.666274,-1231.433418,-1332.262514,-1196.536614,-1250.626038,-1375.57429,-1349.148585,-1411.693423,-1291.787017,-1248.347311,-1327.623849
4,-1224.946543,-1135.384852,-1309.123978,-1261.02607,-1307.237296,-1388.033002,-1197.980479,-1336.747882,-1330.976891,-1195.018276,-1268.278716,-1374.030632,-1409.9656,-1465.304952,-1300.173594,-1380.023084,-1274.165837,-1323.14245,-1353.367706,-1315.178363,-1326.18675,-1382.27222,-1353.532215,-1266.268958,-1239.310697,-1366.611259
5,-1145.307833,-1320.357861,-1411.582245,-1286.898157,-1373.354081,-1199.648592,-1273.634054,-1474.082935,-1345.71324,-1273.577292,-1326.582742,-1396.345226,-1222.447916,-1460.807568,-1291.911035,-1257.765228,-1236.110345,-1376.213432,-1365.407587,-1288.135882,-1360.833799,-1363.821188,-1288.74091,-1258.444335,-1130.460773,-1429.398765
6,-1170.876516,-1245.142232,-1299.949515,-1256.792569,-1340.413784,-1278.076057,-1316.274169,-1407.918786,-1294.2524,-1316.551581,-1340.915192,-1398.893567,-1310.745596,-1442.593995,-1316.484442,-1277.463596,-1377.651785,-1378.598192,-1348.314988,-1338.21338,-1347.658562,-1406.328679,-1412.352272,-1224.320675,-1278.628307,-1398.102988
7,-1252.8585,-1255.35527,-1300.048116,-1280.989716,-1335.694177,-1263.641044,-1247.260175,-1419.920732,-1312.914774,-1355.066102,-1206.388843,-1396.202941,-1289.596498,-1350.730256,-1335.657606,-1262.570174,-1390.910163,-1421.433123,-1207.720931,-1294.178466,-1206.374156,-1228.340634,-1292.81627,-1205.475659,-1347.579737,-1337.420408
8,-1245.306784,-1146.693507,-1275.407474,-1292.455597,-1250.068209,-1262.589829,-1231.571066,-1342.733644,-1240.888696,-1302.928201,-1229.894574,-1421.833117,-1164.582616,-1342.042617,-1279.700317,-1186.317839,-1344.003993,-1234.73555,-1325.874683,-1377.964741,-1226.2045,-1213.89649,-1167.5211,-1230.901856,-1217.295736,-1422.467876
9,-1339.437968,-1244.123578,-1159.580438,-1231.477355,-1260.781883,-1151.508073,-1268.05743,-1425.631477,-1224.436678,-1142.08415,-1162.256714,-1292.60626,-1247.301987,-1344.465657,-1198.168853,-1219.550863,-1214.084827,-1202.101202,-1340.991798,-1254.307873,-1227.042812,-1141.73371,-1251.812529,-1236.881258,-1222.54683,-1262.229872
