batch,3lanahdw - Epoch-avg,1ife0qil - Epoch-avg,tfvtshog - Epoch-avg,433ue2xx - Epoch-avg,e0dedoks - Epoch-avg,2lfb1f90 - Epoch-avg,mdpd09s2 - Epoch-avg,3f1szh6n - Epoch-avg,2o0lr4zq - Epoch-avg,73as3he7 - Epoch-avg,3sjxadky - Epoch-avg,1ygq8soq - Epoch-avg,3gz7izya - Epoch-avg,1u3xq86f - Epoch-avg,9pdaam52 - Epoch-avg,1eu9086i - Epoch-avg,38qfqzgl - Epoch-avg,gisbw50a - Epoch-avg,1ueeneqe - Epoch-avg,2vzwcwtv - Epoch-avg,3olusoh7 - Epoch-avg,hcvf3a5h - Epoch-avg,l0xvi90b - Epoch-avg,2pzhu18n - Epoch-avg
0,-1066.513965,-1225.670609,-1399.339382,-1269.59044,-1124.364614,-1370.454374,-1278.952026,-1222.357283,-1140.365905,-1292.968068,-1271.266414,-1085.152382,-1333.243769,-1211.904572,-1217.020254,-1223.282993,-1118.367612,-1287.88694,-1225.102316,-990.7253437,-1017.188444,-1394.608343,-1287.957721,-1222.240874
1,-1427.267943,-1312.953868,-1361.581074,-1290.919435,-1403.348368,-1462.31205,-1273.7136,-1311.541324,-1213.37099,-1328.019649,-1233.633519,-1260.190834,-1259.693244,-1397.914189,-1206.16771,-1624.849053,-1152.391949,-1379.295081,-1319.930265,-1200.112885,-1006.301709,-1246.3398,-1308.755994,-1250.85083
2,-1253.268651,-1390.028385,-1416.49744,-1244.296942,-1304.651928,-1419.853983,-1312.907022,-1326.286869,-1352.867144,-1461.252195,-1254.020324,-1327.270432,-1346.120589,-1479.831563,-1278.124164,-1112.276395,-1356.177554,-1458.505815,-1325.338701,-1267.935351,-1432.53799,-1378.958311,-1503.66,-1470.276316
3,-1392.561384,-1225.850324,-1433.500393,-1267.115023,-1280.013478,-1360.669283,-1348.733996,-1366.457393,-1376.232952,-1294.223209,-1241.538037,-1344.469261,-1329.22022,-1370.764497,-1419.053678,-1290.752916,-1430.140598,-1428.971684,-1396.504638,-1166.559034,-1371.301357,-1302.360499,-1368.612749,-1373.318469
4,-1396.389205,-1294.22674,-1256.35163,-1358.856922,-1391.798904,-1408.773004,-1388.513207,-1439.584357,-1409.202616,-1301.827057,-1148.230298,-1397.379983,-1252.667402,-1242.695677,-1390.519108,-1485.485674,-1394.714906,-1378.826583,-1264.45124,-1332.181221,-1308.588789,-1449.639179,-1455.155113,-1315.063072
5,-1336.314014,-1335.805364,-1420.958161,-1400.621633,-1363.852727,-1264.897852,-1355.185885,-1446.045445,-1374.996537,-1085.957395,-1273.08656,-1432.178653,-1342.71804,-1477.487446,-1345.463249,-1389.34921,-1387.002802,-1447.508052,-1409.751207,-1272.37809,-1358.462022,-1375.502046,-1472.783638,-1308.620661
6,-1395.072226,-1377.291342,-1549.504487,-1448.815663,-1169.847001,-1388.696642,-1418.027288,-1227.014426,-1404.391558,-1287.123815,-1228.857315,-1232.618647,-1421.901159,-1350.692349,-1414.287893,-1289.838817,-1256.738497,-1317.186135,-1364.071835,-1357.796498,-1334.00061,-1356.091938,-1408.646635,-1324.151136
7,-1398.820617,-1334.35075,-1550.174782,-1412.753558,-1275.83754,-1358.592205,-1324.548269,-1315.96006,-1308.929263,-1276.129166,-1297.622749,-1365.382159,-1380.596749,-1455.658314,-1247.294027,-1309.354611,-1385.43199,-1387.285533,-1167.464765,-1404.241035,-1320.607175,-1395.734357,-1271.873149,-1269.183952
8,-1338.681174,-1266.766607,-1563.402379,-1200.184314,-1218.265379,-1388.24898,-1265.157485,-1328.886489,-1350.746676,-1298.649855,-1000.134015,-1236.030517,-1281.703873,-1389.009964,-1134.706319,-1406.324316,-1358.109277,-1124.731791,-1265.246473,-1399.358274,-1328.526074,-1297.431358,-1103.167558,-1298.948089
9,-1475.234348,-1191.596051,-1479.994667,-1278.070539,-1372.677857,-1308.726528,-1366.427441,-1140.06496,-1374.135765,-1294.49639,-1385.799109,-1326.887792,-1313.281051,-1403.366098,-1180.091416,-1244.198155,-1300.746742,-1377.575843,-1387.113299,-1398.474118,-1271.980296,-1333.329552,-1123.747789,-1238.367795
10,-1293.995481,-1322.031493,-1554.178745,-1271.848871,-1246.064317,-1205.131776,-1219.45956,-1158.073633,-1319.270293,-1196.634685,-1271.253507,-1220.752282,-1359.614235,-1211.819727,-1132.859065,-1227.680122,-1346.46628,-1332.957411,-1175.566949,-1309.055411,-1177.25607,-1161.295423,-1312.0806,-1323.14298
11,-1250.732346,-1159.967684,-1460.809173,-1257.154899,-1305.351732,-1224.032922,-1375.947273,-1193.707355,-927.1704923,-1441.988827,-1159.412324,-1058.482762,-1048.874181,-1156.049099,-1015.37512,-1376.501944,-1294.366276,-1269.680666,-1223.536376,-1144.9109,-1218.407781,-1321.226252,-1113.200757,-1225.583779
12,-1338.001537,-1159.79308,-1469.83076,-1230.474458,-1325.451139,-1142.651183,-1203.734557,-974.2477551,-962.2417057,-1252.713907,-1217.297125,-1289.731626,-1025.234006,-1047.168854,-1283.568364,-1261.551204,-1238.100096,-1132.222431,-1287.913508,-1161.016508,-1287.05652,-1210.420358,-1226.348587,-990.3859751
13,-1268.780629,-1279.108011,-1535.579265,-1196.067155,-1203.477286,-1264.284509,-1221.109674,-1247.11891,-1058.943197,-1160.549218,-1123.149221,-981.7153422,-1070.73492,-1081.379749,-1300.794413,-1157.875179,-1256.116342,-1088.26667,-1188.756088,-1176.095102,-1216.624754,-1152.003463,-1117.73538,-1055.264281
14,-1187.22565,-1271.17008,-1483.88545,-1270.754862,-1107.360633,-1045.748924,-1293.568911,-1207.008048,-1308.969528,-1179.623044,-1301.618547,-1234.240899,-1283.849091,-1177.168525,-1086.273818,-986.8286466,-1236.126383,-1157.483303,-917.1111889,-1143.867935,-1303.252863,-1205.103038,-1303.118155,-1200.723511
15,-1001.84489,-1193.217101,-1519.627928,-1185.954885,-1171.90282,-1168.889917,-1202.007068,-1301.133811,-1152.670863,-1217.339033,-1100.614643,-1105.716608,-1133.395674,-1247.314555,-1263.285309,-1179.951245,-1104.580096,-906.0173602,-1300.109318,-1347.014676,-1284.599488,-1203.329354,-985.1143546,-993.6346211
16,-1188.718458,-1200.609327,-1344.62166,-924.350883,-1169.361981,-1190.958277,-1243.612816,-1002.822583,-1281.956134,-1066.237611,-981.3895635,-1184.333565,-1077.690597,-956.1834987,-1024.812109,-976.4763801,-1305.152724,-1216.293846,-1184.761289,-1048.150759,-1045.855611,-1196.247185,-913.3176246,-1190.129127
17,-1326.238435,-1129.728705,-1437.870318,-985.1531085,-1238.324626,-975.2335949,-945.2759008,-1023.92191,-1115.38401,-1127.608452,-899.3515963,-1090.56703,-1174.328568,-864.7818295,-1148.701214,-1339.556649,-1005.622859,-1158.948925,-1175.496522,-911.9735783,-1213.402503,-1210.781758,-1117.9991,-1174.270376
18,-1123.954591,-1135.600959,-1403.811951,-1137.841106,-1281.550001,-1095.104687,-1193.32246,-1008.921261,-938.732072,-1140.525435,-991.5241872,-1205.234215,-1029.396223,-900.0037035,-929.2846693,-1043.475608,-1202.937797,-1025.69893,-1034.501944,-1313.514729,-1155.945691,-1180.161163,-1145.516236,-1044.681809
19,-1304.49096,-1002.76863,-1505.867948,-903.9623817,-878.7997043,-1019.153911,-1171.358123,-997.5934279,-823.1713704,-1076.64729,-964.2311289,-1029.131152,-1059.225561,-926.3994722,-1115.298678,-1014.514618,-1031.694992,-1051.413473,-976.1161741,-1228.913683,-777.6775412,-1256.917077,-1134.12775,-1038.489693
20,-862.3710831,-879.6864653,-1548.075818,-1213.397816,-1165.446951,-1232.092224,-1127.880552,-1353.296129,-1021.354114,-1168.988427,-761.4743613,-1243.077285,-991.1422704,-843.1600561,-794.9408984,-1065.070869,-998.4269974,-1005.991168,-1135.913038,-1209.504966,-1175.922445,-1041.749276,-917.084166,-1022.575824
21,-1128.516014,-918.0731692,-1382.643888,-814.8657028,-878.7738176,-1112.729498,-1072.662013,-979.7865517,-1243.549174,-1073.074592,-875.3653944,-738.2330311,-1069.73151,-946.8146347,-1012.850333,-1005.78952,-1033.75842,-820.9595727,-1091.114062,-997.301663,-1091.967047,-1157.516832,-975.940864,-1044.479959
22,-1015.657114,-1196.329129,-1411.876751,-834.4302553,-1081.052005,-839.3695467,-1180.201207,-878.9008266,-856.4638714,-806.8400348,-728.0561193,-962.1844822,-961.4099179,-1218.911669,-753.1330502,-894.6020089,-916.7451138,-1087.704485,-833.0879889,-1065.864436,-1168.915502,-1156.70512,-871.7095071,-972.4762075
