batch,1xw6g728 - Epoch-avg,3ikscgpw - Epoch-avg,1twuzz0d - Epoch-avg,50vwwpjb - Epoch-avg,16a1i3ou - Epoch-avg,2s1kqq8c - Epoch-avg,1nroeh36 - Epoch-avg,ktrh2tkl - Epoch-avg,26r5cpnz - Epoch-avg,3d186l6u - Epoch-avg,27og179w - Epoch-avg,3ejpsk49 - Epoch-avg,xu3egzm4 - Epoch-avg,uyyj5cdd - Epoch-avg,3otyqg6q - Epoch-avg,u4cisnjv - Epoch-avg,3mcy4b9i - Epoch-avg,27oykizm - Epoch-avg,ooloz8zs - Epoch-avg,3b7oeaot - Epoch-avg,32c6fel3 - Epoch-avg,1342oi5w - Epoch-avg,othglsno - Epoch-avg,3silhylu - Epoch-avg
0,-1222.178209,-1232.265373,-1277.728197,-1526.29475,-1207.243042,-1092.840799,-1474.168659,-1302.734794,-1413.561565,-1345.042597,-1725.190153,-1195.094046,-1436.89047,-1172.047787,-1009.501255,-1068.635547,-1414.977462,-1478.169441,-1357.027876,-1299.596678,-1155.596581,-1256.71959,-1275.783972,-1453.119836
1,-1101.291097,-1385.228976,-1294.607988,-1602.596509,-1325.526109,-1090.888506,-1224.53479,-1374.797688,-1255.239362,-1336.794409,-1212.491025,-1390.862826,-1438.058456,-1328.937261,-1182.650313,-1345.196336,-1409.065886,-1227.151033,-1299.275993,-1195.678819,-1398.227244,-1150.944008,-1257.993642,-1249.798893
2,-1208.743914,-1474.154655,-1378.194945,-1362.097672,-1205.359913,-1388.889417,-1409.622162,-1464.787854,-1215.237975,-1479.47748,-1360.211511,-1346.637799,-1386.59225,-1273.625559,-1172.42323,-1459.303493,-1346.757518,-1125.179332,-1379.488701,-1419.632304,-1452.611886,-1296.682231,-1327.638848,-1246.649844
3,-1368.104371,-1425.227856,-1371.09955,-1517.148934,-1371.62342,-1350.635688,-1347.802573,-1419.665605,-1262.362682,-1191.247729,-1402.369324,-1296.555785,-1432.280926,-1237.043364,-1231.368981,-1361.684691,-1338.24326,-1200.818277,-1270.249258,-1330.119081,-1450.279813,-1475.354594,-1411.08325,-1388.247111
4,-1220.801342,-1345.469169,-1419.798048,-1414.911887,-1364.806585,-1192.153017,-1155.874638,-1445.959805,-1247.806655,-1365.166346,-1336.619559,-1280.634928,-1275.362368,-1369.503169,-1341.062438,-1242.904032,-1101.677619,-1193.319791,-1452.047567,-1374.853665,-1429.954529,-1433.134526,-1462.332572,-1324.349442
5,-1187.221308,-1396.998176,-1344.641425,-1383.270575,-1254.205939,-1305.778662,-1334.109644,-1314.162663,-1286.613055,-1257.96012,-1256.05008,-1210.850145,-1135.786745,-1393.334996,-1364.421826,-1273.999726,-1415.471643,-1408.508102,-1452.6862,-1286.211718,-1476.463855,-1461.514562,-1403.377285,-1346.115204
6,-1280.938892,-1351.902008,-1191.044466,-1236.320308,-1251.430901,-1185.785698,-1163.65727,-1222.606788,-1308.479045,-1256.364063,-1201.829044,-1248.996953,-1318.065431,-1407.580526,-1337.758833,-1403.584436,-1331.584609,-1313.87112,-1369.653569,-1094.859414,-1263.779235,-1388.174819,-1308.180702,-1295.420367
7,-1180.218055,-1294.945948,-1171.776695,-1212.776622,-1154.522554,-1302.350871,-1146.447043,-1187.27969,-1333.258124,-1407.469267,-1286.916079,-1214.851372,-1141.132209,-1364.371646,-1071.147875,-1377.528396,-1148.102249,-1346.196768,-1274.145033,-1229.758354,-1369.544885,-1279.806801,-1285.552182,-1253.550268
8,-1089.278781,-1318.816185,-1243.740223,-1467.297614,-1405.61895,-1095.623345,-1334.37297,-1338.588325,-1198.775435,-1208.490569,-1221.625073,-1354.763184,-1216.447426,-1277.995682,-1251.207702,-1106.993562,-1075.372728,-1240.348857,-1333.970838,-1288.369694,-1241.608465,-1219.049378,-1245.587233,-1166.049901
9,-1281.342977,-1206.724944,-1223.509668,-1426.375594,-1078.789982,-1123.886427,-1332.391142,-1105.886312,-1211.392707,-1355.33792,-1332.300136,-1239.487828,-1250.250602,-1318.138193,-1340.541261,-1097.692236,-1057.285715,-1237.749536,-1238.756901,-1271.877668,-1326.559134,-1052.637699,-1219.542222,-1083.588439
