batch,2pfrdcbv - Epoch-avg,1vlwdpaf - Epoch-avg,3q5r1k4c - Epoch-avg,2ou7x7rk - Epoch-avg,2of8vzop - Epoch-avg,znl3k74z - Epoch-avg,dqa3ciqr - Epoch-avg,38tl42kk - Epoch-avg,3bpfsd8d - Epoch-avg,crmenqdd - Epoch-avg,wkv86ypm - Epoch-avg,cbcew5d9 - Epoch-avg,1kjkg864 - Epoch-avg,21lmx0bg - Epoch-avg,1wdqz6bc - Epoch-avg,23goukka - Epoch-avg,ur7wlzu9 - Epoch-avg,44b0bp7u - Epoch-avg,23xz4hxx - Epoch-avg,2rpe846y - Epoch-avg,2a1um07g - Epoch-avg,38ivexlk - Epoch-avg,6f7b1xzy - Epoch-avg,310hojhb - Epoch-avg,35lb2llj - Epoch-avg,1zvhc3c0 - Epoch-avg,13yoh3y3 - Epoch-avg,174wdx2b - Epoch-avg,21uke5qo - Epoch-avg,4gu1xe65 - Epoch-avg
0,-1687.181346,-1379.026702,-1480.054011,-1336.898802,-1469.181881,-1228.962383,-1404.553213,-1346.73201,-1466.831974,-1420.758672,-1715.221606,-1576.464457,-1392.127698,-1335.90017,-1460.798092,-1270.433209,-1402.316636,-1426.499034,-1365.914282,-1280.126592,-1313.942218,-1214.045858,-1456.080895,-1302.672107,-1472.77149,-1274.797416,-1462.222813,-1385.711083,-1473.374637,-1215.044047
1,-1579.38834,-1386.993732,-1349.102543,-1242.341929,-1357.553811,-1402.999871,-1499.042544,-1445.482825,-1507.959677,-1508.234305,-1462.365619,-1325.529012,-1369.791659,-1288.594073,-1427.626323,-1346.330814,-1506.862443,-1590.321903,-1451.802602,-1359.078785,-1397.082369,-1292.406735,-1467.799609,-1475.948411,-1536.923621,-1339.181942,-1501.587124,-1471.779753,-1484.281451,-1472.242659
2,-1410.298211,-1465.363078,-1376.936795,-1451.487243,-1487.574191,-1360.36522,-1340.358441,-1316.592444,-1292.293777,-1525.83366,-1395.379495,-1263.734029,-1389.229064,-1450.168527,-1477.602614,-1412.025163,-1468.655072,-1605.461341,-1457.691443,-1315.559098,-1186.41181,-1554.7029,-1318.684109,-1421.141602,-1489.424844,-1406.563723,-1220.993365,-1582.566144,-1252.60545,-1422.529751
3,-1406.978248,-1465.196976,-1459.538856,-1543.430391,-1445.16374,-1373.654923,-1243.10177,-1438.855946,-1397.312681,-1411.61493,-1389.406294,-1333.57364,-1201.195423,-1470.486791,-1247.992949,-1451.972293,-1606.36269,-1178.396884,-1557.95614,-1310.042164,-1193.951328,-1457.032972,-1280.15694,-1439.897683,-1347.508494,-1132.703512,-1253.679885,-1564.456216,-1340.751897,-1452.678182
4,-1095.245857,-1306.573679,-1511.983114,-1437.193058,-1514.569383,-1182.603007,-1264.372493,-1448.778246,-1393.641432,-1418.119253,-1568.327717,-1154.372347,-1476.715229,-1383.805858,-1281.536595,-1452.984212,-1482.000772,-1444.986732,-1330.92174,-1128.24154,-1002.333758,-1590.424185,-1102.014525,-1335.363034,-1392.466323,-1256.72286,-1147.06514,-1289.370382,-1395.035968,-1272.698862
5,-1154.550607,-1357.582319,-1070.590729,-1440.298048,-1213.602438,-1257.332551,-1125.401076,-1362.081648,-1236.944052,-1341.481884,-1529.292823,-1351.266852,-1293.536301,-1395.042605,-1337.331674,-1235.831389,-1600.397911,-1412.89792,-1515.803566,-1430.712629,-983.8859623,-1295.811219,-1295.493924,-1406.760306,-1266.997841,-1261.230877,-1256.991433,-1019.422542,-1425.488455,-1183.195564
6,-1205.789397,-1259.707814,-1394.901337,-1421.483369,-1488.055854,-1234.808186,-1454.665709,-1474.871831,-1219.203905,-1263.936449,-1267.4244,-1619.932701,-1158.379097,-1493.994894,-1313.778519,-1111.372318,-1588.708578,-1319.533822,-1342.149235,-1289.144103,-1068.129868,-1422.062762,-1332.719546,-1351.30377,-1343.063441,-1023.30817,-1586.996271,-1476.208398,-1285.338225,-1209.840292
7,-1100.236492,-1318.361365,-1124.469924,-1563.937279,-1503.548909,-1044.343532,-1324.342869,-1271.384859,-988.5095695,-1219.663351,-1351.3283,-1501.625463,-1101.467717,-1086.177186,-1282.165547,-1109.226372,-1573.655801,-1389.43109,-1460.806596,-1239.852662,-1319.70696,-1325.833233,-1535.319353,-1468.417093,-1151.478351,-1148.307081,-1160.51459,-1351.800328,-1411.092625,-1178.7114
8,-1302.19155,-1436.339018,-1142.845329,-1385.451262,-1086.443989,-1169.806384,-1515.027375,-1289.81484,-1570.504707,-1166.869584,-1236.687961,-1255.157048,-1294.108,-1265.1318,-1214.498146,-999.269707,-1391.268389,-1394.997808,-1370.906428,-1342.758149,-1380.563019,-1337.772698,-1449.474113,-1433.64801,-1051.827804,-1335.664428,-1219.654963,-1194.324803,-1291.146297,-1336.062119
9,-1084.492821,-1358.590905,-1147.587062,-1479.993497,-1180.659076,-1445.152547,-1345.774535,-1246.776822,-1343.963996,-1230.696769,-1165.112763,-1310.721389,-1204.04347,-1066.676508,-1257.668802,-1009.336246,-1520.136371,-1160.138761,-1398.23544,-1418.444585,-1037.885186,-1185.782897,-1437.819431,-1260.235075,-1028.7677,-1320.669018,-1404.578414,-1327.074803,-1274.866533,-1440.0614
10,-1382.243016,-1377.970405,-1337.688089,-1484.59891,-1025.531065,-1383.965346,-1181.770283,-1306.084125,-1504.053219,-993.8317717,-1415.154054,-1326.003257,-1097.641772,-1402.487878,-1154.52073,-1062.921185,-1550.475584,-1434.303727,-1451.879469,-1271.19138,-990.8215622,-1312.015021,-1310.263837,-1410.651772,-1261.685634,-1452.603851,-1448.057503,-897.9163023,-1156.154877,-1405.592905
11,-1149.32099,-1020.231431,-1251.535461,-1573.732327,-1190.426162,-1026.102212,-1073.998245,-1415.674663,-1415.63851,-939.210798,-1412.901544,-1367.369613,-1049.64808,-1362.692647,-1059.404958,-1139.732711,-1390.819478,-1330.487088,-1402.989404,-1188.827677,-1136.653561,-1391.129423,-1433.586558,-1187.608568,-980.0782272,-1194.141389,-1060.955277,-1073.760316,-792.3327373,-1398.855345
